J,Local,Fuera
19,Oviedo,Betis
19,Sevilla,Celta de Vigo
19,Valencia,Elche
19,Levante,Espanyol
19,Rayo Vallecano,Mallorca
20,Betis,Villarreal
20,Celta de Vigo,Rayo Vallecano
20,Elche,Sevilla
20,Espanyol,Girona
20,Getafe,Valencia
20,Osasuna,Oviedo
20,Atlético de Madrid,Alavés
20,Mallorca,Athletic Bilbao
20,Real Sociedad,Barcelona
20,Real Madrid,Levante
21,Alavés,Betis
21,Atlético de Madrid,Mallorca
21,Barcelona,Oviedo
21,Sevilla,Athletic Bilbao
21,Real Sociedad,Celta de Vigo
21,Levante,Elche
21,Valencia,Espanyol
21,Girona,Getafe
21,Rayo Vallecano,Osasuna
21,Villarreal,Real Madrid
22,Athletic Bilbao,Real Sociedad
22,Betis,Valencia
22,Mallorca,Sevilla
22,Osasuna,Villarreal
22,Espanyol,Alavés
22,Levante,Atlético de Madrid
22,Elche,Barcelona
22,Getafe,Celta de Vigo
22,Oviedo,Girona
22,Real Madrid,Rayo Vallecano
23,Alavés,Getafe
23,Athletic Bilbao,Levante
23,Atlético de Madrid,Betis
23,Barcelona,Mallorca
23,Celta de Vigo,Osasuna
23,Real Sociedad,Elche
23,Villarreal,Espanyol
23,Sevilla,Girona
23,Valencia,Real Madrid
23,Rayo Vallecano,Oviedo
24,Elche,Osasuna
24,Getafe,Villarreal
24,Levante,Valencia
24,Real Madrid,Real Sociedad
24,Sevilla,Alavés
24,Oviedo,Athletic Bilbao
24,Rayo Vallecano,Atlético de Madrid
24,Girona,Barcelona
24,Mallorca,Betis
24,Espanyol,Celta de Vigo
25,Alavés,Girona
25,Athletic Bilbao,Elche
25,Atlético de Madrid,Espanyol
25,Barcelona,Levante
25,Betis,Rayo Vallecano
25,Celta de Vigo,Mallorca
25,Getafe,Sevilla
25,Osasuna,Real Madrid
25,Villarreal,Valencia
25,Real Sociedad,Oviedo
26,Barcelona,Villarreal
26,Betis,Sevilla
26,Elche,Espanyol
26,Mallorca,Real Sociedad
26,Levante,Alavés
26,Rayo Vallecano,Athletic Bilbao
26,Oviedo,Atlético de Madrid
26,Girona,Celta de Vigo
26,Real Madrid,Getafe
26,Valencia,Osasuna
27,Athletic Bilbao,Barcelona
27,Atlético de Madrid,Real Sociedad
27,Celta de Vigo,Real Madrid
27,Espanyol,Oviedo
27,Valencia,Alavés
27,Getafe,Betis
27,Villarreal,Elche
27,Levante,Girona
27,Osasuna,Mallorca
27,Sevilla,Rayo Vallecano
28,Alavés,Villarreal
28,Atlético de Madrid,Getafe
28,Barcelona,Sevilla
28,Betis,Celta de Vigo
28,Oviedo,Valencia
28,Girona,Athletic Bilbao
28,Real Madrid,Elche
28,Mallorca,Espanyol
28,Rayo Vallecano,Levante
28,Real Sociedad,Osasuna
29,Athletic Bilbao,Betis
29,Barcelona,Rayo Vallecano
29,Elche,Mallorca
29,Espanyol,Getafe
29,Levante,Oviedo
29,Sevilla,Valencia
29,Celta de Vigo,Alavés
29,Real Madrid,Atlético de Madrid
29,Osasuna,Girona
29,Villarreal,Real Sociedad
30,Alavés,Osasuna
30,Atlético de Madrid,Barcelona
30,Betis,Espanyol
30,Girona,Villarreal
30,Mallorca,Real Madrid
30,Oviedo,Sevilla
30,Getafe,Athletic Bilbao
30,Valencia,Celta de Vigo
30,Rayo Vallecano,Elche
30,Real Sociedad,Levante
31,Athletic Bilbao,Villarreal
31,Barcelona,Espanyol
31,Celta de Vigo,Oviedo
31,Elche,Valencia
31,Mallorca,Rayo Vallecano
31,Real Sociedad,Alavés
31,Sevilla,Atlético de Madrid
31,Osasuna,Betis
31,Levante,Getafe
31,Real Madrid,Girona
32,Alavés,Mallorca
32,Betis,Real Madrid
32,Espanyol,Levante
32,Osasuna,Sevilla
32,Rayo Vallecano,Real Sociedad
32,Atlético de Madrid,Athletic Bilbao
32,Getafe,Barcelona
32,Villarreal,Celta de Vigo
32,Oviedo,Elche
32,Valencia,Girona
33,Athletic Bilbao,Osasuna
33,Barcelona,Celta de Vigo
33,Levante,Sevilla
33,Mallorca,Valencia
33,Oviedo,Villarreal
33,Real Madrid,Alavés
33,Elche,Atlético de Madrid
33,Girona,Betis
33,Rayo Vallecano,Espanyol
33,Real Sociedad,Getafe
34,Alavés,Athletic Bilbao
34,Betis,Oviedo
34,Celta de Vigo,Elche
34,Espanyol,Real Madrid
34,Getafe,Rayo Vallecano
34,Girona,Mallorca
34,Valencia,Atlético de Madrid
34,Osasuna,Barcelona
34,Villarreal,Levante
34,Sevilla,Real Sociedad
35,Athletic Bilbao,Valencia
35,Atlético de Madrid,Celta de Vigo
35,Barcelona,Real Madrid
35,Levante,Osasuna
35,Mallorca,Villarreal
35,Elche,Alavés
35,Real Sociedad,Betis
35,Sevilla,Espanyol
35,Oviedo,Getafe
35,Rayo Vallecano,Girona
36,Alavés,Barcelona
36,Betis,Elche
36,Celta de Vigo,Levante
36,Getafe,Mallorca
36,Girona,Real Sociedad
36,Espanyol,Athletic Bilbao
36,Osasuna,Atlético de Madrid
36,Valencia,Rayo Vallecano
36,Villarreal,Sevilla
36,Real Madrid,Oviedo
37,Athletic Bilbao,Celta de Vigo
37,Atlético de Madrid,Girona
37,Barcelona,Betis
37,Elche,Getafe
37,Levante,Mallorca
37,Rayo Vallecano,Villarreal
37,Real Sociedad,Valencia
37,Oviedo,Alavés
37,Osasuna,Espanyol
37,Sevilla,Real Madrid
38,Alavés,Rayo Vallecano
38,Betis,Levante
38,Celta de Vigo,Sevilla
38,Espanyol,Real Sociedad
38,Getafe,Osasuna
38,Mallorca,Oviedo
38,Real Madrid,Athletic Bilbao
38,Villarreal,Atlético de Madrid
38,Valencia,Barcelona
38,Girona,Elche
